timestamp,x,y,z
0,1.47,-10.35,-1.69
10,1.47,-10.37,-1.7
20,1.43,-10.12,-1.57
30,1.37,-9.82,-1.43
40,1.29,-9.5,-1.51
50,1.3,-9.21,-1.74
60,1.29,-9.1,-1.81
70,1.33,-9.34,-1.72
80,1.3,-9.79,-1.47
90,1.32,-10.18,-1.48
100,1.32,-10.45,-1.45
110,1.3,-10.63,-1.64
120,1.22,-10.49,-1.83
130,1.16,-10.09,-1.81
140,1.2,-9.81,-1.93
150,1.17,-9.54,-1.56
160,1.19,-9.27,-1.47
170,1.24,-8.95,-1.35
180,1.27,-8.59,-1.16
190,1.37,-8.28,-1.09
200,1.38,-7.93,-0.98
210,1.56,-7.74,-1.06
220,1.7,-7.74,-1.05
230,1.94,-7.78,-1.27
240,1.97,-7.69,-1.37
250,1.9,-7.02,-1.76
260,1.84,-5.82,-1.87
270,1.38,-4.07,-1.19
280,1.03,-0.74,0.27
290,-0.07,4.87,3.27
300,-0.87,10.89,4.31
310,-1.54,16.85,3.12
320,-1.64,20.56,0.34
330,-2.14,19.94,-0.6
340,-3.06,15.35,-1.4
350,-4.32,9.71,-1.75
360,-6.21,6.05,-2.12
370,-8.15,1.19,-1.66
380,-10.0,-4.53,-1.23
390,-13.58,-10.81,1.12
400,-13.77,-17.71,-1.04
410,-13.56,-24.57,-3.58
420,-13.48,-29.27,-5.18
430,-13.27,-31.2,-5.9
440,-12.47,-31.89,-5.66
450,-11.3,-31.14,-4.6
460,-9.94,-29.23,-3.8
470,-8.65,-26.57,-3.35
480,-7.29,-23.67,-3.98
490,-6.17,-20.37,-4.74
500,-5.66,-17.28,-4.68
510,-5.43,-14.63,-4.0
520,-5.21,-13.16,-2.83
530,-4.94,-12.29,-2.18
540,-4.86,-11.94,-2.01
550,-4.74,-12.72,-2.46
560,-4.81,-13.64,-3.68
570,-4.97,-14.75,-5.85
580,-5.21,-16.14,-8.83
590,-5.16,-18.37,-11.39
600,-5.84,-20.83,-11.26
610,-6.9,-22.99,-10.12
620,-7.67,-24.99,-10.71
630,-7.97,-27.11,-12.63
640,-8.36,-28.73,-14.64
650,-9.24,-28.86,-15.4
660,-10.37,-28.18,-14.54
670,-11.74,-26.39,-12.11
680,-13.4,-23.35,-8.67
690,-14.58,-18.81,-4.39
700,-15.06,-14.04,-0.8
710,-14.52,-9.03,1.16
720,-13.55,-4.88,2.67
730,-12.5,-0.5,3.46
740,-11.19,3.43,4.69
750,-9.75,5.5,6.66
760,-8.47,6.72,9.12
770,-7.02,6.96,10.88
780,-5.14,5.93,11.1
790,-3.28,4.56,10.77
800,-1.51,3.14,9.37
810,-0.16,2.36,7.42
820,0.96,2.25,5.33
830,1.3,2.16,5.08
840,1.4,2.0,5.52
850,1.38,1.45,5.89
860,1.6,0.26,4.86
870,2.05,-1.3,3.29
880,2.46,-3.19,1.8
890,2.95,-5.19,0.31
900,3.35,-7.44,-0.7
910,3.55,-8.85,-0.99
920,3.29,-9.15,-0.25
930,2.95,-9.04,0.58
940,2.96,-8.94,0.24
950,2.98,-8.57,-0.08
960,3.08,-8.6,0.03
970,3.1,-8.89,0.54
980,3.24,-9.12,0.15
990,3.56,-9.46,-0.82
1000,3.64,-9.9,-1.05
