timestamp,x,y,z
0,3.01,9.73,2.9
10,3.01,9.31,2.81
20,3.04,8.83,2.6
30,2.95,8.29,2.42
40,2.85,7.65,2.27
50,2.71,7.1,2.11
60,2.56,6.3,2.11
70,2.52,5.22,2.03
80,2.46,3.75,1.85
90,2.29,1.81,1.74
100,2.15,-1.09,1.35
110,1.69,-4.94,1.15
120,1.18,-8.69,0.65
130,0.76,-12.76,-0.58
140,0.32,-14.95,-2.17
150,-0.63,-14.78,-3.41
160,-1.94,-13.52,-4.89
170,-3.62,-11.65,-6.01
180,-5.44,-8.77,-6.45
190,-7.54,-6.21,-5.53
200,-9.5,-2.6,-3.27
210,-10.72,2.68,-1.0
220,-13.89,9.25,3.54
230,-14.9,16.75,6.83
240,-13.97,22.18,7.35
250,-12.21,25.79,6.03
260,-10.34,28.42,4.65
270,-8.55,29.95,3.68
280,-7.83,29.9,4.92
290,-7.59,28.86,7.24
300,-7.46,28.76,9.57
310,-7.27,29.46,11.1
320,-6.82,30.12,11.34
330,-6.44,29.93,11.11
340,-6.45,28.73,10.81
350,-6.35,27.55,10.35
360,-6.32,26.86,9.89
370,-6.59,25.91,9.76
380,-7.33,25.78,10.33
390,-8.1,26.53,10.02
400,-8.62,27.95,8.73
410,-9.03,29.41,7.0
420,-9.5,29.89,5.32
430,-10.07,28.57,3.46
440,-10.89,25.33,1.55
450,-11.54,20.89,0.0
460,-11.88,16.56,-0.79
470,-11.7,12.85,-1.49
480,-10.93,9.89,-2.53
490,-9.86,7.54,-3.66
500,-8.64,5.33,-5.04
510,-7.47,3.05,-6.03
520,-6.13,0.89,-6.8
530,-4.82,-0.7,-7.22
540,-3.94,-2.22,-6.62
550,-2.99,-5.36,-6.4
560,-1.82,-7.69,-6.54
570,-0.46,-8.31,-6.67
580,0.6,-7.33,-6.05
590,1.31,-5.75,-4.69
600,2.04,-3.36,-3.78
610,2.93,-1.59,-3.42
620,3.65,-1.05,-3.61
630,4.25,-0.51,-3.91
640,4.6,-0.87,-4.12
650,5.07,-2.04,-4.1
660,5.22,-3.45,-3.28
670,5.64,-5.18,-2.83
680,6.05,-3.95,-1.82
690,5.66,-1.17,1.2
700,5.57,1.43,3.0
710,5.77,3.67,3.28
720,6.18,5.31,2.68
730,6.38,6.3,2.31
740,6.42,6.94,2.47
750,6.39,7.85,3.02
760,6.39,9.0,3.37
770,6.5,9.83,3.14
780,6.51,9.98,2.83
790,6.44,9.47,2.53
800,6.38,8.86,2.22
810,6.2,8.52,2.22
820,6.07,8.51,2.12
830,6.13,9.04,1.75
840,6.19,9.41,1.47
850,6.21,9.51,1.43
860,6.16,9.3,1.67
870,6.21,8.9,1.52
880,6.38,8.33,1.1
890,6.35,7.85,0.97
900,6.18,7.83,1.32
910,6.14,8.09,1.47
920,6.28,8.37,1.29
930,6.35,8.5,1.12
940,6.34,8.43,1.14
950,6.32,8.35,1.09
960,6.31,8.05,0.8
970,6.3,7.63,0.48
980,6.22,7.31,0.52
990,6.01,7.33,1.01
1000,6.05,7.45,0.84
