timestamp,x,y,z
0,6.15,-6.5,-2.85
10,6.11,-6.29,-3.13
20,6.1,-6.33,-3.48
30,6.22,-6.83,-3.51
40,6.25,-7.24,-3.35
50,6.33,-7.62,-3.36
60,6.36,-7.83,-3.09
70,6.36,-7.91,-2.76
80,6.36,-8.2,-2.54
90,6.37,-8.31,-2.65
100,6.32,-8.21,-2.41
110,6.25,-8.1,-2.28
120,6.22,-8.07,-2.36
130,6.2,-7.87,-2.47
140,6.18,-7.74,-2.35
150,6.23,-7.68,-2.41
160,6.3,-7.59,-2.56
170,6.33,-7.37,-2.72
180,6.28,-6.98,-2.68
190,6.21,-6.74,-2.59
200,6.15,-6.61,-2.3
210,6.13,-6.63,-1.95
220,6.1,-6.68,-1.8
230,6.11,-6.68,-1.79
240,6.09,-6.7,-1.8
250,6.04,-6.81,-1.8
260,6.01,-6.68,-2.04
270,5.96,-6.27,-2.32
280,5.84,-5.92,-2.04
290,5.77,-5.68,-1.97
300,5.67,-5.42,-1.95
310,5.56,-5.44,-1.89
320,5.47,-5.6,-1.91
330,5.32,-5.64,-1.93
340,5.06,-5.68,-2.1
350,4.79,-5.45,-2.35
360,4.41,-4.99,-2.5
370,3.91,-4.03,-2.5
380,3.29,-2.61,-2.34
390,2.55,-0.94,-2.39
400,1.49,0.73,-2.38
410,0.39,3.15,-2.15
420,-0.85,6.46,-1.54
430,-2.44,9.94,-0.98
440,-3.47,12.56,-0.5
450,-4.71,13.59,0.73
460,-6.16,13.45,1.22
470,-7.34,11.53,0.92
480,-8.37,7.84,0.09
490,-9.08,4.45,-1.46
500,-9.69,-0.24,-2.89
510,-9.85,-7.49,-2.63
520,-9.19,-16.8,-1.2
530,-7.81,-24.14,-0.45
540,-6.38,-27.72,-0.49
550,-4.65,-28.24,-2.13
560,-3.18,-28.23,-3.18
570,-1.91,-28.98,-2.87
580,-1.11,-30.25,-1.56
590,-0.66,-30.6,-0.42
600,-0.38,-30.38,0.07
610,-0.44,-28.76,0.06
620,-0.78,-26.02,0.12
630,-1.0,-23.09,-0.08
640,-0.85,-20.76,-0.48
650,-0.64,-19.04,-0.96
660,-0.35,-18.24,-1.38
670,-0.08,-18.54,-1.86
680,-0.07,-18.73,-2.13
690,-0.23,-18.46,-2.45
700,-0.21,-18.5,-3.05
710,-0.09,-18.92,-3.78
720,-0.14,-18.93,-3.95
730,-0.24,-18.73,-4.21
740,-0.47,-18.43,-4.62
750,-0.58,-18.58,-5.41
760,-0.55,-19.37,-5.98
770,-0.7,-20.4,-5.81
780,-0.72,-21.68,-5.66
790,-0.67,-22.73,-5.72
800,-0.79,-22.72,-5.65
810,-1.24,-21.33,-5.29
820,-1.72,-19.31,-4.51
830,-2.02,-17.47,-3.86
840,-2.35,-15.63,-3.13
850,-2.67,-13.8,-2.14
860,-3.13,-11.46,-1.02
870,-3.32,-9.87,0.0
880,-3.45,-8.67,1.93
890,-3.56,-7.21,3.63
900,-3.51,-5.51,4.63
910,-3.36,-3.53,4.98
920,-2.98,-1.42,4.55
930,-2.4,0.07,3.96
940,-1.71,0.72,3.48
950,-1.14,0.94,3.57
960,-0.71,0.89,4.34
970,-0.31,0.53,5.0
980,0.19,-0.42,5.36
990,0.76,-1.69,5.12
1000,1.38,-2.38,4.34
