timestamp,x,y,z
0,5.78,7.44,3.44
10,5.79,7.48,3.42
20,5.85,7.53,3.4
30,5.85,7.55,3.49
40,5.83,7.29,3.48
50,5.78,6.98,3.48
60,5.71,6.86,3.6
70,5.69,6.98,3.58
80,5.72,7.02,3.59
90,5.71,7.2,3.51
100,5.73,7.07,3.28
110,5.69,6.79,3.2
120,5.58,6.33,3.34
130,5.4,5.93,3.67
140,5.26,5.83,3.85
150,5.26,5.84,3.7
160,5.26,5.75,3.53
170,5.13,5.55,3.52
180,4.96,5.26,3.73
190,4.79,4.72,3.84
200,4.67,4.22,3.5
210,4.32,3.9,3.33
220,3.77,3.04,3.39
230,2.97,1.41,3.59
240,1.84,-2.17,3.73
250,0.03,-8.32,4.02
260,-1.96,-17.1,3.12
270,-3.37,-27.23,-0.22
280,-5.85,-32.73,-1.68
290,-9.47,-32.9,-2.77
300,-13.22,-26.5,-4.19
310,-15.93,-14.45,-3.69
320,-18.65,-1.15,0.31
330,-20.13,11.54,4.53
340,-19.32,21.9,3.35
350,-15.91,30.53,-2.13
360,-12.47,35.84,-4.99
370,-9.8,38.36,-2.83
380,-7.52,39.24,0.3
390,-5.72,37.59,2.56
400,-4.39,35.21,4.1
410,-3.08,33.48,5.05
420,-2.06,31.39,6.16
430,-1.65,29.41,7.59
440,-1.23,26.49,7.36
450,-0.54,22.78,5.84
460,0.0,18.71,4.25
470,0.38,14.78,2.69
480,0.41,11.37,2.17
490,0.16,8.85,2.27
500,-0.31,7.1,2.76
510,-0.93,6.99,3.97
520,-1.5,9.16,5.39
530,-1.9,13.07,6.85
540,-2.1,16.59,7.36
550,-2.56,19.69,8.54
560,-3.23,22.65,10.38
570,-4.01,25.75,12.35
580,-4.68,28.63,13.86
590,-5.33,30.62,14.97
600,-5.82,30.76,15.49
610,-6.3,29.49,14.65
620,-6.66,27.7,12.97
630,-7.27,25.3,11.67
640,-7.86,21.87,9.5
650,-8.62,17.19,6.76
660,-9.13,11.65,3.5
670,-9.22,6.22,0.52
680,-8.65,1.61,-2.13
690,-7.65,-2.35,-4.13
700,-6.38,-5.66,-6.25
710,-4.64,-7.34,-9.02
720,-2.84,-7.69,-11.15
730,-1.16,-6.88,-11.87
740,0.32,-5.31,-11.05
750,1.01,-3.47,-9.1
760,1.58,-1.92,-7.5
770,1.84,-1.17,-5.92
780,1.96,-0.69,-4.63
790,2.37,0.56,-4.09
800,2.91,1.89,-3.8
810,3.14,2.96,-2.73
820,3.42,3.9,-1.79
830,3.64,4.84,-0.89
840,3.71,5.81,0.18
850,3.67,6.45,1.37
860,3.95,6.82,1.51
870,4.17,7.34,1.69
880,4.43,7.71,1.53
890,4.51,7.82,1.61
900,4.65,8.11,1.76
910,4.71,8.48,2.03
920,4.76,8.78,2.22
930,4.92,9.44,2.42
940,4.89,9.83,2.89
950,4.96,9.8,2.74
960,5.14,9.41,2.18
970,5.27,8.83,1.61
980,5.18,8.33,1.94
990,5.09,8.1,2.16
1000,5.11,7.98,1.86
