timestamp,x,y,z
0,6.18,-10.07,-0.44
10,6.01,-9.91,-0.11
20,5.76,-9.62,0.14
30,5.52,-9.02,0.02
40,5.3,-8.32,-0.37
50,5.17,-7.66,-0.86
60,5.04,-7.05,-1.3
70,4.87,-6.22,-1.55
80,4.75,-5.61,-1.71
90,4.53,-5.26,-1.83
100,4.36,-4.7,-2.21
110,4.25,-3.89,-2.77
120,4.1,-3.22,-3.1
130,4.04,-2.87,-3.41
140,4.01,-2.69,-3.62
150,3.94,-2.62,-3.69
160,3.86,-2.54,-3.76
170,3.77,-2.38,-3.93
180,3.7,-2.1,-4.52
190,3.58,-1.69,-4.81
200,3.47,-1.35,-4.83
210,3.31,-0.99,-4.95
220,2.93,-0.46,-4.97
230,2.31,0.67,-4.97
240,1.25,2.75,-5.34
250,-0.43,6.95,-5.98
260,-2.48,12.29,-5.48
270,-4.23,16.48,-4.74
280,-6.33,20.43,-3.48
290,-8.35,24.27,-1.76
300,-13.78,26.51,3.14
310,-17.17,24.39,5.37
320,-20.71,18.71,5.25
330,-23.19,11.85,1.97
340,-24.16,0.4,-1.93
350,-23.35,-11.98,-3.69
360,-21.24,-23.13,-4.17
370,-18.26,-33.81,-2.93
380,-14.93,-41.62,-1.66
390,-11.82,-47.07,-1.47
400,-9.32,-46.73,-3.9
410,-7.73,-42.55,-5.99
420,-6.86,-37.26,-5.9
430,-6.28,-33.63,-4.41
440,-5.01,-31.23,-3.89
450,-3.72,-29.39,-3.82
460,-2.96,-28.42,-3.17
470,-2.76,-27.16,-2.87
480,-2.91,-25.68,-3.68
490,-3.09,-23.59,-5.23
500,-3.18,-21.65,-7.41
510,-2.92,-20.55,-10.05
520,-2.75,-20.65,-12.68
530,-2.97,-21.7,-15.9
540,0.6,-22.49,-23.49
550,-0.89,-25.26,-23.39
560,-1.21,-27.78,-24.08
570,-2.27,-28.31,-23.84
580,-4.59,-27.53,-20.94
590,-6.94,-28.78,-15.53
600,-8.62,-29.49,-12.37
610,-10.65,-28.06,-11.22
620,-12.95,-24.82,-9.04
630,-14.46,-20.02,-6.03
640,-20.71,-14.14,2.4
650,-22.26,-6.09,6.53
660,-22.59,0.82,11.88
670,-21.97,6.2,17.38
680,-19.73,9.49,20.89
690,-16.32,10.13,22.1
700,-12.5,7.9,21.18
710,-8.77,4.09,19.56
720,-5.46,1.34,16.54
730,-2.22,-0.81,11.45
740,0.3,-1.98,7.12
750,1.64,-0.85,5.57
760,2.25,1.25,5.1
770,2.96,2.36,3.92
780,3.85,2.6,2.23
790,4.63,1.92,0.41
800,5.5,0.58,-1.61
810,6.42,-1.02,-2.8
820,6.84,-2.51,-2.73
830,6.66,-4.12,-2.49
840,6.5,-5.68,-2.44
850,6.42,-6.9,-2.75
860,6.11,-7.91,-1.8
870,5.71,-8.32,-0.62
880,5.39,-7.98,-0.01
890,5.25,-7.73,-0.55
900,5.3,-7.81,-1.38
910,5.26,-7.95,-1.17
920,5.24,-7.94,-0.82
930,5.32,-7.91,-0.74
940,5.45,-7.91,-1.36
950,5.58,-8.28,-1.79
960,5.5,-8.66,-1.48
970,5.31,-8.71,-0.67
980,5.11,-8.16,-0.68
990,5.08,-7.61,-1.48
1000,5.03,-7.83,-0.99
