timestamp,x,y,z
0,5.58,7.71,3.51
10,5.56,7.62,3.57
20,5.54,7.39,3.42
30,5.52,7.04,3.15
40,5.53,6.9,2.9
50,5.44,7.02,3.08
60,5.24,7.08,3.56
70,5.1,6.86,3.8
80,5.06,6.43,3.79
90,4.95,6.18,3.79
100,4.74,5.83,3.85
110,4.51,5.31,3.77
120,4.06,4.7,3.86
130,3.43,4.01,4.07
140,2.63,2.71,3.86
150,1.68,0.14,3.35
160,0.11,-3.77,2.96
170,-2.59,-9.01,2.47
180,-5.85,-17.0,-0.64
190,-9.22,-27.17,-2.36
200,-12.98,-37.59,-4.8
210,-13.32,-41.55,-10.78
220,-16.55,-34.61,-14.7
230,-19.65,-18.92,-13.87
240,-25.24,-2.89,-6.78
250,-24.26,10.52,-0.55
260,-22.79,21.64,5.07
270,-19.37,33.27,7.74
280,-13.66,42.13,6.06
290,-8.17,49.04,5.05
300,-3.72,57.04,3.75
310,-0.28,50.01,5.01
320,0.73,43.63,4.62
330,1.19,43.04,5.23
340,2.07,41.39,2.06
350,2.13,35.29,1.27
360,1.69,28.47,2.29
370,1.42,23.54,3.31
380,2.08,19.9,2.35
390,2.67,18.19,1.75
400,3.03,18.0,2.49
410,2.26,17.96,5.33
420,1.55,18.73,7.69
430,0.81,20.21,10.11
440,0.37,22.32,12.03
450,0.33,25.35,13.04
460,0.23,28.99,13.18
470,-0.5,32.19,14.23
480,-1.89,33.39,15.62
490,-3.7,31.85,15.34
500,-5.44,28.46,12.86
510,-6.92,24.09,9.51
520,-8.27,18.46,5.75
530,-9.2,11.9,1.77
540,-9.71,6.13,-2.36
550,-9.38,2.9,-5.93
560,-8.93,2.06,-7.41
570,-8.3,1.32,-8.55
580,-7.13,-0.63,-10.81
590,-6.14,-4.26,-13.04
600,-5.15,-8.36,-14.0
610,-4.38,-11.84,-13.58
620,-3.33,-12.76,-12.34
630,-1.7,-10.64,-11.13
640,-0.06,-7.2,-9.57
650,1.24,-3.76,-7.65
660,2.48,-0.94,-5.71
670,3.54,1.07,-4.23
680,4.45,1.69,-3.24
690,4.95,1.37,-2.2
700,5.08,0.96,-0.78
710,4.98,1.16,1.07
720,5.23,2.11,2.43
730,5.91,3.59,3.12
740,6.47,5.09,3.68
750,7.02,6.15,3.32
760,7.33,6.77,2.93
770,7.28,7.46,3.09
780,7.1,7.79,3.01
790,6.88,7.6,2.86
800,6.71,7.2,2.78
810,6.58,7.05,3.04
820,6.78,7.19,2.64
830,6.99,7.18,1.8
840,7.0,7.14,1.47
850,6.92,7.06,1.42
860,6.73,7.08,1.63
870,6.79,7.45,1.42
880,6.9,7.43,1.07
890,6.96,6.98,0.92
900,6.92,6.83,1.28
910,6.9,6.95,1.59
920,7.01,7.07,1.22
930,6.99,6.82,0.84
940,6.94,6.62,0.76
950,6.96,7.03,0.91
960,6.97,8.01,1.39
970,6.95,8.62,1.81
980,7.02,8.56,1.63
990,7.1,7.94,1.05
1000,6.96,7.43,1.06
