timestamp,x,y,z
0,7.27,6.72,1.66
10,7.25,6.79,1.74
20,7.23,6.62,1.78
30,7.22,6.48,1.85
40,7.22,6.5,1.86
50,7.3,6.68,1.77
60,7.33,6.79,1.75
70,7.3,6.97,1.79
80,7.27,6.93,1.73
90,7.21,6.81,1.83
100,7.16,6.63,1.9
110,7.15,6.7,2.0
120,7.18,6.71,1.94
130,7.2,6.72,1.94
140,7.17,6.66,1.86
150,7.12,6.68,1.79
160,7.07,6.68,1.83
170,7.04,6.55,1.81
180,7.0,6.58,1.88
190,7.04,6.57,1.99
200,7.09,6.7,2.05
210,7.13,6.77,1.98
220,7.13,6.72,1.96
230,7.07,6.62,1.94
240,6.99,6.37,1.92
250,6.9,6.21,1.87
260,6.82,6.1,1.98
270,6.76,6.22,2.07
280,6.76,6.34,2.06
290,6.8,6.39,1.98
300,6.78,6.23,2.03
310,6.72,6.02,2.14
320,6.6,5.73,2.32
330,6.5,5.5,2.46
340,6.37,5.34,2.48
350,6.11,5.2,2.6
360,5.72,4.95,2.76
370,5.22,4.49,2.51
380,4.46,3.64,2.32
390,3.65,1.89,2.06
400,2.46,-1.45,1.8
410,0.95,-5.19,0.95
420,-1.06,-10.39,-0.13
430,-3.01,-16.31,-0.68
440,-5.27,-19.63,0.13
450,-7.48,-19.85,0.96
460,-9.32,-17.69,0.93
470,-13.0,-13.74,3.35
480,-12.99,-7.79,2.48
490,-12.77,0.67,3.18
500,-10.88,11.35,2.12
510,-7.44,21.04,-1.05
520,-4.33,27.33,-2.29
530,-1.66,30.11,-2.54
540,0.22,31.35,-1.92
550,1.36,30.58,-0.57
560,2.09,29.49,0.86
570,3.29,29.0,1.53
580,2.98,26.48,2.59
590,3.43,25.78,2.19
600,3.61,25.15,1.71
610,3.63,24.3,1.33
620,3.69,23.11,1.22
630,3.95,22.34,0.62
640,4.26,22.47,0.39
650,4.13,23.43,0.98
660,3.83,23.08,1.46
670,2.82,21.0,2.98
680,2.27,18.42,4.7
690,2.01,18.03,7.19
700,2.9,20.95,8.85
710,3.84,27.38,11.45
720,4.15,36.55,13.49
730,4.48,44.23,12.6
740,2.68,45.39,11.45
750,-1.07,39.4,9.99
760,-5.34,30.74,7.68
770,-8.18,22.58,4.01
780,-9.59,16.33,-0.46
790,-10.09,11.87,-5.3
800,-9.77,8.19,-9.79
810,-9.63,3.75,-11.86
820,-9.54,-0.05,-12.14
830,-9.29,-4.2,-12.53
840,-8.47,-8.58,-13.51
850,-6.9,-11.61,-14.41
860,-4.97,-12.8,-14.05
870,-3.38,-12.38,-12.54
880,-1.81,-10.92,-10.94
890,-0.05,-8.67,-9.42
900,1.56,-6.59,-8.05
910,2.41,-5.3,-5.92
920,3.21,-4.27,-3.66
930,3.79,-3.35,-1.51
940,4.28,-2.69,0.07
950,4.86,-1.92,0.9
960,5.17,-0.63,1.8
970,5.55,0.37,2.27
980,5.88,1.74,2.27
990,6.27,2.84,1.77
1000,6.54,4.16,1.35
