timestamp,x,y,z
0,6.53,6.11,3.88
10,6.58,6.25,3.72
20,6.59,6.46,3.59
30,6.53,6.43,3.46
40,6.51,6.31,3.19
50,6.55,6.23,3.01
60,6.56,6.51,3.05
70,6.59,6.94,3.08
80,6.62,7.3,3.07
90,6.62,7.41,2.98
100,6.61,7.51,2.92
110,6.52,7.55,2.98
120,6.45,7.45,3.1
130,6.42,7.28,3.09
140,6.41,6.99,2.97
150,6.31,6.78,3.02
160,6.2,6.54,3.1
170,6.05,6.17,3.12
180,5.93,5.87,3.23
190,5.73,5.64,3.37
200,5.48,5.36,3.47
210,5.13,5.02,3.43
220,4.7,4.63,3.4
230,4.04,4.36,3.42
240,3.03,3.74,3.24
250,1.62,2.4,3.14
260,-0.52,-0.9,3.63
270,-4.88,-9.66,2.31
280,-9.49,-22.21,-1.15
290,-11.84,-38.42,-6.77
300,-10.92,-55.9,-14.37
310,-16.37,-58.58,-19.15
320,-26.1,-43.05,-17.87
330,-33.45,-21.8,-11.92
340,-38.25,-1.12,-3.57
350,-37.65,20.23,0.55
360,-31.52,39.22,-1.64
370,-24.77,51.54,-1.7
380,-18.98,55.21,1.84
390,-14.55,53.55,5.03
400,-11.66,57.39,6.5
410,-6.67,52.83,7.74
420,-4.75,50.31,7.94
430,-2.97,52.13,7.3
440,-1.9,50.29,6.52
450,-2.17,42.85,6.9
460,-3.25,34.34,7.07
470,-4.39,26.64,6.87
480,-4.54,20.6,5.8
490,-4.51,17.42,5.8
500,-4.66,16.19,6.52
510,-4.93,15.94,7.08
520,-4.97,15.9,7.5
530,-4.49,17.02,7.46
540,-4.29,18.73,8.71
550,-4.25,19.99,10.23
560,-3.82,21.03,10.58
570,-3.75,21.5,10.16
580,-3.96,19.86,9.38
590,-4.74,16.81,8.62
600,-5.84,13.6,7.84
610,-6.32,11.75,5.62
620,-5.9,11.79,2.32
630,-5.48,13.8,-1.21
640,-4.54,16.41,-4.99
650,-4.52,17.55,-6.77
660,-5.8,14.45,-7.28
670,-7.27,7.83,-7.79
680,-8.38,-0.95,-8.77
690,-8.2,-10.19,-9.66
700,-6.59,-16.28,-9.93
710,-3.99,-16.04,-10.03
720,-1.14,-12.0,-9.91
730,0.98,-6.96,-8.96
740,2.43,-1.93,-7.63
750,3.39,1.56,-6.5
760,4.04,2.44,-5.34
770,4.23,1.47,-3.73
780,4.48,0.16,-2.26
790,4.89,-0.63,-1.24
800,5.1,-0.83,0.02
810,5.39,0.28,1.17
820,5.91,2.21,1.35
830,6.17,4.08,2.01
840,6.49,5.35,1.97
850,6.82,6.33,1.49
860,6.9,6.76,1.24
870,6.86,6.59,1.11
880,6.67,6.14,1.18
890,6.56,5.96,1.45
900,6.65,6.68,1.29
910,6.79,7.66,0.96
920,7.0,8.11,0.29
930,7.26,8.03,-0.15
940,6.96,8.44,1.3
950,7.02,8.63,1.5
960,7.23,7.92,0.63
970,7.09,6.91,0.65
980,6.94,6.29,1.06
990,6.87,6.5,1.55
1000,6.65,7.13,2.17
