timestamp,x,y,z
0,4.77,8.44,-0.01
10,4.69,8.25,0.1
20,4.69,8.09,0.13
30,4.61,8.06,0.51
40,4.57,8.32,0.71
50,4.62,8.61,0.57
60,4.51,8.81,0.56
70,4.43,8.85,0.53
80,4.47,9.0,0.28
90,4.47,9.02,0.27
100,4.37,9.03,0.72
110,4.23,9.11,1.37
120,4.13,9.05,1.79
130,4.07,8.96,2.09
140,4.01,8.92,2.54
150,3.94,8.88,2.82
160,3.98,8.73,2.75
170,4.02,8.68,2.67
180,3.97,8.51,2.71
190,3.96,8.42,2.92
200,3.92,8.45,3.09
210,3.91,8.39,3.23
220,3.87,8.4,3.47
230,3.9,8.39,3.56
240,3.9,8.45,3.48
250,3.86,8.6,3.71
260,3.7,9.11,4.68
270,3.38,9.71,6.08
280,3.1,10.34,7.48
290,3.01,10.98,9.81
300,3.01,11.99,13.23
310,-2.53,12.5,20.25
320,-0.92,12.15,23.06
330,-1.29,12.01,27.28
340,-2.25,11.42,30.82
350,-2.83,11.29,31.9
360,-2.85,11.55,30.12
370,-3.03,10.81,26.39
380,-3.8,8.77,22.31
390,-5.18,6.61,17.73
400,-6.48,4.83,11.47
410,-7.76,3.22,5.54
420,-9.54,1.08,1.03
430,-11.1,-1.51,-5.04
440,-11.72,-3.65,-13.56
450,-12.38,-3.93,-21.71
460,-12.94,-1.95,-29.52
470,-9.37,0.87,-38.16
480,-9.64,4.26,-40.87
490,-8.79,8.4,-43.6
500,-7.4,12.27,-44.45
510,-6.07,15.06,-43.84
520,-5.17,14.61,-43.5
530,-4.66,11.2,-42.14
540,-4.57,7.6,-40.39
550,-6.45,3.47,-38.06
560,-8.3,1.16,-33.08
570,-9.92,5.73,-28.42
580,-10.4,8.83,-25.46
590,-10.24,11.54,-22.46
600,-11.31,12.48,-14.05
610,-12.83,10.01,-7.44
620,-17.42,6.17,-1.12
630,-16.41,4.12,3.54
640,-16.68,5.97,11.94
650,-15.89,10.35,21.61
660,-13.58,13.92,25.95
670,-10.81,15.61,27.03
680,-8.52,16.2,27.56
690,-7.17,16.3,30.9
700,-6.1,16.92,35.55
710,-4.86,17.66,39.58
720,-3.54,17.53,39.85
730,-2.23,15.89,37.9
740,-2.13,13.47,37.89
750,-2.95,10.5,39.15
760,-3.54,8.0,37.78
770,-3.98,6.32,35.61
780,-5.4,5.08,35.25
790,-7.23,3.59,35.07
800,-9.18,2.76,34.23
810,-11.16,1.95,31.99
820,-13.04,1.17,27.84
830,-14.52,-0.8,20.66
840,-15.43,-2.98,11.97
850,-15.97,-3.64,5.17
860,-15.63,-0.51,-2.01
870,-14.25,3.33,-11.09
880,-12.79,6.44,-19.54
890,-11.98,10.12,-23.89
900,-13.24,14.35,-25.54
910,-14.63,18.13,-26.19
920,-15.25,23.27,-25.61
930,-13.86,28.1,-26.22
940,-11.07,31.03,-26.24
950,-4.31,29.48,-27.54
960,-3.04,24.12,-22.89
970,-1.72,16.98,-18.69
980,-0.2,10.87,-15.67
990,1.2,7.28,-12.94
1000,2.15,5.21,-10.24
