timestamp,x,y,z
0,4.57,7.56,2.96
10,4.6,7.77,3.39
20,4.62,8.14,3.97
30,4.59,8.51,4.39
40,4.55,8.66,4.48
50,4.48,8.68,4.39
60,4.39,8.67,4.41
70,4.29,8.75,4.55
80,4.16,8.63,4.61
90,4.04,8.48,4.53
100,3.92,8.48,4.91
110,3.6,8.43,5.72
120,3.31,8.32,6.34
130,3.04,8.47,7.28
140,2.64,8.4,8.18
150,2.43,8.08,8.36
160,2.32,7.95,8.49
170,2.16,7.79,9.6
180,1.89,7.6,11.8
190,0.21,7.19,16.79
200,-2.19,7.27,24.11
210,-2.85,7.95,29.79
220,-3.75,7.96,33.15
230,-3.72,7.22,34.62
240,-3.64,6.28,34.56
250,-3.94,4.38,31.82
260,-4.47,1.87,26.39
270,-5.39,0.22,20.66
280,-6.99,-0.94,15.52
290,-8.43,-1.2,9.61
300,-9.59,-1.12,3.46
310,-10.42,-1.15,-2.54
320,-10.56,-0.92,-7.96
330,-10.16,0.27,-13.27
340,-10.03,2.45,-19.22
350,-11.68,4.77,-26.35
360,-9.19,6.67,-38.32
370,-10.64,10.57,-42.29
380,-10.55,16.17,-42.21
390,-10.29,21.06,-39.88
400,-9.26,23.86,-35.97
410,-7.08,25.83,-31.85
420,-4.56,24.33,-30.51
430,-3.14,19.1,-31.32
440,-3.74,12.96,-30.94
450,-5.69,8.04,-28.96
460,-7.05,7.12,-26.87
470,-7.67,9.49,-24.25
480,-8.49,10.1,-19.42
490,-9.7,9.5,-12.85
500,-9.72,7.9,-10.06
510,-10.04,6.16,-7.74
520,-10.79,3.83,-5.29
530,-11.42,2.26,-2.71
540,-14.86,3.58,3.18
550,-14.23,3.38,7.1
560,-14.43,4.97,15.01
570,-14.37,7.47,24.6
580,-13.62,11.02,33.71
590,-11.26,15.19,38.81
600,-7.75,18.48,37.75
610,-4.36,19.86,33.45
620,-2.19,18.8,28.55
630,-1.45,12.99,24.83
640,-1.58,6.86,22.95
650,-1.54,1.67,22.4
660,-1.84,-0.54,24.67
670,-1.82,0.12,26.0
680,-1.63,2.47,26.18
690,-1.64,4.09,26.14
700,-1.89,5.43,25.9
710,-2.19,6.28,25.72
720,-3.23,5.79,26.26
730,-4.51,3.81,26.14
740,-5.89,1.83,25.82
750,-7.31,0.91,25.02
760,-8.54,0.95,22.28
770,-9.41,0.94,19.19
780,-10.18,0.88,17.19
790,-10.77,1.03,15.39
800,-11.34,2.29,12.59
810,-11.76,4.81,8.73
820,-12.24,8.04,4.41
830,-12.06,11.3,-0.5
840,-10.94,14.14,-5.65
850,-9.91,15.44,-9.89
860,-10.17,13.9,-13.71
870,-10.96,10.82,-17.74
880,-10.99,9.27,-22.35
890,-9.85,12.08,-23.85
900,-8.17,17.45,-22.46
910,-6.88,21.41,-20.7
920,-3.76,23.61,-21.3
930,-2.64,24.03,-20.05
940,-1.5,22.64,-17.74
950,-0.72,19.85,-14.48
960,-0.03,16.63,-11.38
970,0.62,13.62,-8.33
980,1.27,11.28,-6.1
990,1.87,9.56,-4.63
1000,2.5,8.64,-3.82
