timestamp,x,y,z
0,5.0,7.17,4.39
10,4.91,7.27,4.84
20,4.7,7.26,5.29
30,4.54,7.08,5.55
40,4.48,7.04,5.72
50,4.46,6.95,5.73
60,4.49,6.77,5.52
70,4.5,6.56,5.5
80,4.4,6.36,5.77
90,4.34,6.3,6.07
100,4.16,6.41,6.79
110,3.86,6.79,8.64
120,3.64,7.21,10.25
130,3.66,7.65,10.53
140,3.89,7.72,9.96
150,4.05,7.1,9.17
160,3.98,6.39,9.56
170,3.78,5.76,11.33
180,3.91,4.87,13.89
190,4.71,3.91,18.69
200,-0.27,2.9,32.3
210,-0.88,2.4,39.67
220,-0.95,2.96,40.33
230,-2.13,1.92,37.04
240,-4.05,0.16,32.54
250,-6.26,-3.03,28.36
260,-8.72,-3.97,23.49
270,-11.02,-3.12,16.28
280,-12.97,-0.94,8.9
290,-14.42,2.42,2.62
300,-15.34,4.79,-4.06
310,-16.39,4.53,-10.86
320,-17.46,3.21,-20.13
330,-18.92,2.12,-29.44
340,-19.65,4.14,-36.44
350,-13.28,9.07,-45.26
360,-13.55,11.72,-43.17
370,-11.88,16.48,-38.97
380,-9.55,20.99,-33.81
390,-7.59,21.96,-30.47
400,-5.71,20.42,-29.54
410,-3.94,17.11,-29.32
420,-2.49,13.16,-28.75
430,-2.01,10.18,-26.41
440,-3.04,6.11,-23.18
450,-4.75,4.5,-21.13
460,-6.33,6.05,-22.09
470,-8.13,9.14,-24.17
480,-9.67,12.32,-24.74
490,-11.85,13.02,-23.42
500,-13.37,10.89,-22.13
510,-14.41,8.24,-19.38
520,-15.3,4.4,-13.54
530,-15.68,1.55,-8.73
540,-16.37,0.49,-4.54
550,-16.6,0.48,0.62
560,-16.97,0.99,6.36
570,-17.51,3.37,14.52
580,-17.27,7.18,24.55
590,-15.96,11.84,31.97
600,-13.0,12.71,35.91
610,-9.89,14.29,36.26
620,-6.9,14.13,33.07
630,-4.72,11.0,29.31
640,-3.92,7.91,28.88
650,-3.86,4.87,30.69
660,-3.55,3.31,31.5
670,-3.37,3.84,32.98
680,-3.36,4.81,33.97
690,-3.46,6.44,33.01
700,-3.91,7.81,32.09
710,-4.93,8.08,31.85
720,-6.5,7.39,31.89
730,-8.28,6.3,32.19
740,-9.94,5.35,32.87
750,-11.44,4.39,33.48
760,-12.93,3.28,34.66
770,-14.85,0.66,34.02
780,-16.95,-3.75,26.12
790,-18.93,-5.64,15.33
800,-19.82,-4.34,5.63
810,-20.34,-0.22,-0.68
820,-20.63,5.43,-4.62
830,-20.31,10.89,-8.35
840,-20.12,14.93,-13.88
850,-19.96,17.0,-23.06
860,-20.0,16.97,-31.99
870,-16.9,15.63,-39.46
880,-15.83,17.27,-36.94
890,-13.36,22.02,-29.79
900,-10.47,24.78,-22.51
910,-7.18,24.68,-17.2
920,-4.03,22.48,-14.44
930,-1.47,18.85,-13.84
940,0.37,14.38,-14.02
950,1.33,10.81,-12.58
960,1.95,8.03,-10.57
970,2.23,6.59,-7.26
980,2.39,5.86,-3.98
990,2.11,5.83,-0.52
1000,1.71,6.26,1.58
