timestamp,x,y,z
0,6.03,-7.43,-2.44
10,6.01,-7.27,-2.41
20,6.03,-6.92,-2.26
30,6.09,-6.69,-2.37
40,6.19,-6.54,-2.59
50,6.25,-6.66,-2.36
60,6.26,-6.87,-2.01
70,6.24,-7.06,-1.67
80,6.19,-7.05,-1.29
90,6.15,-6.98,-1.02
100,6.18,-6.73,-1.11
110,6.1,-6.62,-1.23
120,6.0,-6.53,-1.29
130,5.94,-6.44,-1.83
140,5.92,-6.5,-2.36
150,5.82,-6.83,-2.36
160,5.8,-7.07,-2.56
170,5.83,-7.18,-2.93
180,5.79,-7.39,-3.03
190,5.61,-7.38,-2.83
200,5.37,-7.45,-2.87
210,5.14,-7.63,-3.24
220,4.98,-7.97,-4.18
230,4.65,-8.65,-5.72
240,4.2,-9.19,-7.1
250,4.17,-10.3,-10.36
260,3.75,-10.87,-15.56
270,3.47,-10.56,-22.21
280,3.3,-9.56,-30.07
290,2.8,-8.53,-35.0
300,2.14,-9.45,-36.77
310,1.6,-12.16,-37.92
320,0.46,-14.05,-35.41
330,-1.26,-13.37,-30.92
340,-2.87,-9.88,-27.75
350,-5.21,-7.44,-23.12
360,-7.84,-6.95,-15.45
370,-10.38,-6.05,-8.52
380,-12.12,-3.12,-3.51
390,-18.07,1.11,6.71
400,-17.55,4.07,12.59
410,-17.31,2.34,18.02
420,-16.84,-2.92,23.63
430,-16.8,-8.4,29.9
440,-17.11,-11.87,36.91
450,-16.22,-13.49,41.14
460,-13.83,-14.92,40.64
470,-11.3,-14.7,38.62
480,-9.05,-12.4,38.03
490,-6.28,-9.55,37.38
500,-4.47,-5.61,35.72
510,-3.27,-2.84,33.24
520,-3.16,0.19,29.5
530,-4.0,0.88,26.56
540,-4.99,0.36,24.99
550,-6.22,-0.32,24.74
560,-7.97,-1.89,25.44
570,-10.19,-3.59,25.63
580,-12.05,-5.19,23.57
590,-12.73,-5.95,19.55
600,-13.33,-6.0,14.65
610,-13.6,-4.04,9.74
620,-13.86,-1.97,5.0
630,-14.36,-0.5,1.59
640,-14.64,0.37,-3.43
650,-13.8,-1.81,-12.02
660,-12.32,-6.82,-21.28
670,-3.25,-13.2,-33.03
680,-4.16,-19.68,-32.07
690,-1.75,-24.06,-30.48
700,0.85,-25.79,-31.23
710,2.59,-25.58,-33.27
720,3.85,-24.39,-34.23
730,4.46,-21.37,-33.36
740,4.79,-17.99,-33.0
750,4.92,-15.14,-33.41
760,4.78,-13.28,-33.18
770,4.23,-12.88,-32.58
780,3.29,-12.07,-32.42
790,1.99,-10.87,-32.31
800,0.22,-9.4,-31.23
810,-1.71,-7.9,-29.51
820,-3.65,-6.57,-28.7
830,-5.84,-4.9,-27.74
840,-7.43,-4.42,-24.52
850,-8.82,-2.93,-19.49
860,-9.88,-3.11,-13.63
870,-9.93,-4.11,-7.78
880,-10.11,-6.06,-2.3
890,-16.83,-8.57,7.43
900,-14.17,-9.0,9.84
910,-14.63,-10.98,13.8
920,-19.13,-12.11,21.5
930,-20.22,-17.35,31.15
940,-19.17,-19.31,36.59
950,-15.61,-21.67,35.49
960,-11.24,-22.8,31.21
970,-7.32,-21.91,27.75
980,-4.38,-19.31,24.99
990,-2.02,-14.75,22.7
1000,-0.44,-9.72,20.8
