timestamp,x,y,z
0,5.16,7.58,3.94
10,5.2,7.53,3.9
20,5.19,7.57,3.88
30,5.2,7.67,3.9
40,5.17,7.69,3.89
50,5.16,7.74,4.01
60,5.16,7.73,4.21
70,5.18,7.81,4.33
80,5.2,7.76,4.07
90,5.25,7.75,3.77
100,5.15,7.7,3.73
110,5.02,7.56,3.77
120,4.88,7.45,3.94
130,4.78,7.36,4.12
140,4.7,7.26,4.55
150,4.7,7.02,4.84
160,4.73,6.91,4.7
170,4.74,6.78,4.52
180,4.59,6.57,4.71
190,4.39,6.32,5.15
200,4.21,6.21,5.57
210,4.07,6.32,6.04
220,3.95,6.54,6.49
230,3.82,6.78,6.86
240,3.62,7.02,7.57
250,3.35,7.31,9.27
260,2.84,7.33,11.14
270,2.35,7.17,12.6
280,2.1,6.65,13.92
290,-1.63,6.17,18.26
300,-0.44,5.77,19.84
310,-0.84,5.56,22.88
320,-1.6,5.77,26.37
330,-2.57,6.15,29.53
340,-3.42,6.42,31.91
350,-3.88,6.04,32.61
360,-4.5,4.75,31.61
370,-5.49,3.1,27.75
380,-6.9,1.2,21.52
390,-8.62,-0.97,15.02
400,-10.0,-2.14,8.57
410,-10.74,-2.51,0.8
420,-11.23,-2.22,-6.92
430,-10.91,1.1,-13.86
440,-10.36,5.99,-20.11
450,-10.34,10.13,-24.95
460,-9.39,12.41,-29.65
470,-9.69,14.41,-33.01
480,-9.58,16.02,-38.04
490,-8.57,16.97,-45.54
500,-6.9,16.82,-50.19
510,-5.26,17.24,-49.66
520,-4.08,16.6,-46.57
530,-4.37,13.91,-41.16
540,-6.42,10.54,-36.19
550,-8.82,8.43,-33.11
560,-9.9,9.34,-30.25
570,-10.72,10.41,-25.65
580,-11.72,9.07,-20.79
590,-13.0,5.09,-15.36
600,-14.05,2.48,-10.49
610,-14.69,0.12,-6.36
620,-19.24,-1.82,3.62
630,-19.01,2.41,15.14
640,-17.23,2.79,24.08
650,-14.89,6.26,31.81
660,-11.75,11.28,35.24
670,-8.11,15.47,32.68
680,-6.07,11.93,28.92
690,-5.39,11.79,29.14
700,-4.66,12.64,30.26
710,-4.23,12.34,32.04
720,-4.27,12.96,34.89
730,-4.05,13.13,34.83
740,-3.62,13.26,32.42
750,-3.59,13.53,30.84
760,-4.02,13.65,30.34
770,-4.74,13.31,30.01
780,-5.67,11.83,28.88
790,-6.97,8.83,27.22
800,-8.31,5.94,25.14
810,-9.12,3.8,22.99
820,-9.77,2.69,21.98
830,-10.23,2.12,20.94
840,-10.41,1.84,19.11
850,-10.38,1.24,16.55
860,-9.94,0.08,13.43
870,-9.51,-0.71,10.36
880,-9.47,-1.12,6.89
890,-10.07,-0.61,3.33
900,-10.87,0.56,-1.61
910,-11.33,3.47,-6.92
920,-11.82,6.9,-11.74
930,-12.1,10.63,-15.79
940,-12.22,13.99,-18.15
950,-11.93,17.17,-21.51
960,-10.56,19.16,-24.15
970,-9.06,19.73,-23.65
980,-8.48,20.09,-22.12
990,-7.35,19.73,-21.08
1000,-5.04,19.21,-20.77
