timestamp,x,y,z
0,5.28,7.47,3.41
10,5.28,7.4,3.18
20,5.29,7.39,2.87
30,5.33,7.31,2.67
40,5.32,7.33,2.78
50,5.36,7.45,3.0
60,5.36,7.71,3.11
70,5.32,7.93,3.4
80,5.16,8.19,4.15
90,5.14,8.12,4.46
100,5.05,7.84,4.23
110,5.0,7.47,3.81
120,4.9,7.05,3.38
130,4.8,6.83,3.2
140,4.78,6.82,2.98
150,4.68,7.01,3.14
160,4.53,7.12,3.62
170,4.31,7.24,4.21
180,3.97,7.25,5.35
190,3.62,7.27,6.76
200,3.38,6.78,8.39
210,3.42,5.14,12.67
220,-5.28,3.95,25.56
230,-2.85,2.6,32.24
240,-3.18,3.04,41.11
250,-4.0,5.23,47.61
260,-3.39,9.65,45.9
270,-2.68,13.33,39.06
280,-3.61,14.13,32.16
290,-6.15,12.7,24.19
300,-9.0,9.55,14.37
310,-11.14,4.93,4.35
320,-13.32,-2.09,-4.72
330,-15.07,-9.03,-15.59
340,-16.44,-11.05,-26.37
350,-17.27,-4.81,-33.55
360,-10.74,6.85,-42.03
370,-9.93,17.04,-39.48
380,-9.13,21.65,-32.42
390,-8.01,23.24,-26.11
400,-6.25,23.76,-23.21
410,-4.8,20.87,-21.84
420,-3.74,16.92,-21.95
430,-2.62,13.64,-24.15
440,-1.74,10.85,-26.65
450,-2.19,8.29,-26.88
460,-3.3,6.9,-28.2
470,-5.2,6.46,-30.76
480,-8.16,8.21,-32.97
490,-11.55,10.24,-33.12
500,-13.87,11.73,-30.2
510,-14.91,10.63,-24.68
520,-15.37,8.57,-16.43
530,-16.04,4.77,-10.76
540,-15.95,0.39,-7.99
550,-20.95,-1.36,1.82
560,-18.82,-2.1,10.5
570,-18.43,5.36,20.26
580,-16.09,8.1,25.4
590,-14.42,11.34,31.37
600,-12.27,12.6,34.89
610,-9.99,12.34,36.85
620,-8.02,11.33,39.06
630,-5.9,11.85,39.83
640,-4.03,10.54,38.2
650,-3.77,9.1,38.2
660,-3.51,7.23,37.2
670,-3.4,6.66,35.69
680,-3.79,5.76,34.4
690,-4.48,4.71,32.85
700,-5.38,3.56,31.05
710,-6.39,2.47,29.42
720,-8.05,0.91,27.9
730,-9.14,-0.32,27.63
740,-9.83,-0.79,27.06
750,-11.74,-4.2,25.98
760,-13.87,-7.49,21.23
770,-14.75,-9.11,11.9
780,-15.11,-5.44,2.09
790,-14.85,3.35,-7.4
800,-14.38,13.74,-14.01
810,-14.05,20.59,-17.75
820,-14.14,21.73,-21.22
830,-13.91,21.62,-24.66
840,-12.6,21.2,-26.55
850,-11.02,19.16,-26.19
860,-7.65,18.63,-26.68
870,-6.05,18.48,-21.66
880,-4.0,18.13,-17.32
890,-1.89,16.43,-14.81
900,-0.54,12.94,-12.64
910,0.48,9.87,-11.41
920,0.91,7.58,-9.45
930,1.06,6.9,-7.0
940,1.2,7.48,-5.1
950,1.3,8.5,-2.91
960,1.11,9.49,-0.33
970,0.92,10.38,0.61
980,0.89,10.27,-0.61
990,0.57,9.61,-2.09
1000,0.23,9.66,-2.21
