timestamp,x,y,z
0,4.53,4.52,-14.02
10,4.87,6.11,-16.89
20,5.74,7.51,-19.72
30,6.36,6.46,-21.46
40,6.56,4.27,-20.69
50,5.69,1.86,-15.67
60,5.72,2.37,-14.91
70,5.96,2.44,-15.12
80,6.25,2.85,-16.31
90,6.11,1.78,-16.98
100,5.23,0.21,-16.29
110,4.73,-0.73,-14.97
120,4.12,-1.31,-12.5
130,3.31,-1.77,-8.74
140,2.94,-1.3,-6.04
150,3.08,-0.22,-5.07
160,2.95,0.56,-4.13
170,2.67,0.89,-3.44
180,2.56,2.22,-4.18
190,2.6,4.18,-5.6
200,2.26,5.27,-5.49
210,1.55,5.13,-3.85
220,0.83,4.1,-2.44
230,0.51,2.81,-1.89
240,0.27,2.19,-1.17
250,0.03,2.05,0.58
260,-0.25,2.75,2.93
270,-0.24,4.76,4.82
280,0.48,7.67,4.79
290,1.1,10.65,5.51
300,1.36,11.58,7.08
310,1.38,10.99,8.8
320,1.21,9.56,9.99
330,1.21,7.41,10.6
340,1.27,5.69,10.72
350,1.8,5.09,10.17
360,2.23,5.33,9.74
370,2.58,5.37,8.94
380,2.8,5.2,8.37
390,2.88,5.31,8.45
400,3.06,5.93,8.86
410,3.14,6.88,9.82
420,3.4,7.67,9.95
430,3.46,7.75,9.61
440,3.74,6.91,8.17
450,4.06,6.2,6.48
460,4.26,5.84,5.51
470,4.45,5.73,5.07
480,4.43,5.6,5.14
490,4.38,6.18,5.3
500,4.38,7.14,5.07
510,4.37,7.69,4.17
520,4.57,7.72,2.3
530,5.01,6.98,0.31
540,5.0,6.22,-0.1
550,4.87,5.23,1.19
560,4.8,4.52,5.64
570,5.83,5.76,14.9
580,-2.39,10.38,35.78
590,-1.84,16.76,51.96
600,-3.37,18.68,59.27
610,-4.06,16.91,56.93
620,-7.79,16.81,52.73
630,-11.0,12.66,42.23
640,-15.05,7.12,31.7
650,-21.31,2.85,25.78
660,-28.02,0.93,16.71
670,-31.78,0.6,-0.2
680,-33.18,-1.03,-20.65
690,-33.96,-1.72,-39.17
700,-36.56,-3.65,-54.34
710,-30.04,-2.77,-77.48
720,-21.9,3.54,-78.45
730,-16.6,6.93,-78.45
740,-14.33,5.44,-78.45
750,-14.39,1.18,-68.91
760,-14.4,-0.23,-56.52
770,-15.32,1.88,-40.19
780,-15.49,2.24,-23.74
790,-14.66,3.3,-18.62
800,-14.82,3.4,-16.46
810,-15.41,1.19,-16.93
820,-16.56,-0.98,-14.59
830,-14.84,-3.09,-7.43
840,-25.68,-1.72,27.02
850,-21.95,2.21,51.87
860,-18.08,7.63,74.56
870,-12.61,13.3,78.45
880,-5.42,18.91,78.45
890,-3.5,24.02,78.45
900,-1.01,22.07,78.45
910,-3.27,19.82,76.17
920,-8.92,11.87,67.72
930,-14.67,2.32,52.58
940,-19.5,-4.23,38.0
950,-22.9,-2.26,27.6
960,-25.12,5.98,16.81
970,-26.14,15.32,2.3
980,-27.21,21.49,-12.06
990,-28.54,24.06,-25.12
1000,-29.34,23.0,-35.78
