timestamp,x,y,z
0,5.42,6.97,4.43
10,5.47,7.12,4.42
20,5.5,7.16,4.38
30,5.48,7.13,4.34
40,5.45,7.06,4.24
50,5.47,6.96,4.03
60,5.47,6.99,3.96
70,5.42,7.06,4.23
80,5.37,7.14,4.61
90,5.35,7.24,4.69
100,5.37,7.38,4.58
110,5.35,7.48,4.43
120,5.32,7.42,4.23
130,5.3,7.16,4.07
140,5.26,6.98,3.92
150,5.18,6.72,4.0
160,5.15,6.62,3.93
170,5.09,6.8,4.07
180,5.06,7.1,4.25
190,5.1,7.42,4.36
200,5.04,7.75,4.68
210,4.96,7.74,5.02
220,4.98,7.48,4.85
230,4.98,7.25,4.61
240,4.99,6.94,4.32
250,4.96,6.74,4.21
260,4.93,6.63,4.25
270,4.87,6.75,4.52
280,4.77,6.96,4.98
290,4.66,7.27,5.39
300,4.58,7.45,5.58
310,4.49,7.35,5.58
320,4.43,7.09,5.44
330,4.39,6.8,5.18
340,4.29,6.47,5.44
350,4.11,6.3,5.95
360,4.01,6.28,6.2
370,3.76,6.44,6.66
380,3.45,6.72,7.26
390,3.28,7.19,8.61
400,3.34,7.49,11.74
410,3.54,7.55,16.34
420,-1.05,7.33,25.39
430,-1.43,6.45,31.55
440,-2.76,4.86,37.51
450,-3.96,3.17,39.8
460,-4.72,1.47,37.5
470,-5.62,0.58,33.7
480,-6.21,-0.35,29.68
490,-7.4,-0.34,26.02
500,-8.65,0.73,21.37
510,-9.74,2.43,15.98
520,-11.21,4.24,10.05
530,-12.93,5.07,3.52
540,-14.12,5.37,-4.19
550,-14.6,3.68,-12.2
560,-14.59,2.1,-19.9
570,-14.59,2.87,-26.12
580,-14.37,7.46,-30.08
590,-8.76,13.89,-37.52
600,-8.15,17.92,-38.14
610,-7.57,19.36,-35.37
620,-6.26,20.25,-32.47
630,-4.37,20.15,-30.13
640,-2.45,18.62,-28.56
650,-0.44,16.07,-28.28
660,1.08,13.19,-28.22
670,1.71,9.94,-27.95
680,1.16,6.89,-27.27
690,-0.39,5.22,-25.2
700,-1.5,5.76,-24.28
710,-2.38,6.58,-24.43
720,-4.34,6.39,-23.72
730,-6.18,7.02,-23.08
740,-8.65,8.82,-20.78
750,-10.44,9.15,-18.18
760,-11.57,9.27,-16.23
770,-12.83,8.26,-12.83
780,-14.53,5.4,-9.96
790,-15.92,2.48,-8.66
800,-16.45,0.58,-5.68
810,-20.6,1.77,5.62
820,-20.75,3.86,16.18
830,-19.3,8.66,24.92
840,-16.93,12.31,30.12
850,-14.65,14.34,32.99
860,-12.69,13.36,36.64
870,-10.74,14.22,40.16
880,-8.74,14.07,42.85
890,-6.86,13.48,43.45
900,-5.77,12.31,42.55
910,-4.96,9.8,39.98
920,-4.62,6.66,36.96
930,-4.86,4.56,35.15
940,-5.35,2.88,33.87
950,-6.26,1.2,32.09
960,-7.59,-0.34,30.49
970,-8.96,-0.83,29.08
980,-10.12,-0.96,27.16
990,-10.73,-1.28,24.01
1000,-11.18,-2.34,19.63
