timestamp,x,y,z
0,6.97,6.17,2.58
10,7.0,6.15,2.6
20,7.02,6.14,2.68
30,7.07,6.09,2.61
40,7.05,6.13,2.57
50,7.05,6.24,2.61
60,7.02,6.37,2.7
70,7.05,6.42,2.69
80,7.07,6.47,2.77
90,7.05,6.57,2.88
100,7.05,6.62,2.67
110,7.08,6.66,2.33
120,7.05,6.63,2.31
130,6.95,6.55,2.39
140,6.86,6.5,2.54
150,6.86,6.54,2.7
160,6.88,6.73,2.87
170,6.91,6.86,2.95
180,6.95,6.94,2.85
190,7.0,6.92,2.53
200,7.04,6.89,2.35
210,7.04,6.79,2.28
220,7.0,6.66,2.3
230,6.91,6.51,2.42
240,6.85,6.37,2.56
250,6.89,6.32,2.45
260,6.94,6.43,2.38
270,6.98,6.48,2.31
280,6.95,6.39,2.24
290,6.9,6.33,2.24
300,6.82,6.31,2.49
310,6.78,6.32,2.73
320,6.81,6.34,2.69
330,6.83,6.41,2.74
340,6.79,6.48,2.82
350,6.74,6.43,2.7
360,6.67,6.42,2.85
370,6.52,6.45,3.21
380,6.35,6.35,3.46
390,6.1,6.42,4.07
400,5.83,6.55,5.36
410,5.15,6.93,7.14
420,5.45,7.14,11.55
430,2.71,8.44,25.05
440,-1.33,11.47,41.62
450,-8.49,12.68,58.15
460,-8.65,12.47,49.57
470,-7.35,14.06,34.75
480,-8.21,13.04,26.67
490,-10.17,10.38,22.0
500,-11.64,8.77,15.89
510,-12.9,7.3,7.87
520,-14.02,6.49,0.65
530,-15.22,6.13,-6.43
540,-15.97,3.68,-14.45
550,-16.44,-0.01,-23.72
560,-18.02,-4.1,-32.76
570,-14.19,-8.26,-48.59
580,-10.8,-6.33,-62.17
590,-10.16,0.64,-67.35
600,-10.45,10.64,-64.43
610,-11.02,20.27,-58.7
620,-11.71,22.9,-54.46
630,-12.8,18.21,-52.57
640,-13.87,10.85,-51.75
650,-16.41,4.6,-52.64
660,-19.33,-3.92,-47.29
670,-24.55,-10.18,-39.33
680,-27.5,-11.01,-27.12
690,-42.23,-5.91,5.66
700,-39.59,-0.79,34.06
710,-37.49,11.49,63.92
720,-30.33,18.23,78.45
730,-26.56,30.5,78.45
740,-21.79,51.6,78.45
750,-14.77,69.76,78.45
760,-14.88,71.54,78.45
770,-20.51,53.03,66.37
780,-27.82,32.65,45.49
790,-30.39,10.04,18.13
800,-27.64,-9.56,-7.49
810,-22.55,-22.67,-25.25
820,-19.0,-24.07,-32.05
830,-18.16,-10.23,-35.55
840,-13.21,7.7,-37.24
850,-9.27,22.5,-36.73
860,-5.93,26.86,-35.33
870,-4.03,25.01,-31.92
880,-3.55,19.0,-25.29
890,-3.34,14.18,-19.2
900,-2.66,11.5,-15.95
910,-1.62,10.89,-14.15
920,-0.41,10.65,-13.57
930,0.71,9.75,-12.67
940,1.4,8.83,-10.33
950,2.03,8.05,-7.58
960,2.68,7.67,-4.93
970,3.02,7.57,-2.37
980,3.09,7.75,0.01
990,3.17,8.27,1.18
1000,3.3,8.62,1.33
