timestamp,x,y,z
0,5.82,6.92,2.04
10,5.85,7.05,1.96
20,5.88,7.24,1.79
30,5.87,7.4,1.71
40,5.81,7.39,1.79
50,5.8,7.18,1.75
60,5.72,7.02,1.8
70,5.7,7.02,1.86
80,5.73,7.13,1.93
90,5.66,7.43,2.33
100,5.55,7.76,3.21
110,5.4,7.8,3.5
120,5.32,7.58,3.03
130,5.06,7.39,3.32
140,4.83,7.42,4.72
150,4.69,7.65,6.23
160,4.61,7.65,7.04
170,4.32,7.52,8.93
180,4.35,7.44,13.31
190,-2.61,7.79,23.99
200,-2.3,8.35,31.1
210,-3.17,10.66,37.9
220,-3.35,14.39,39.56
230,-2.9,17.62,36.69
240,-3.29,18.8,32.85
250,-4.45,16.91,28.49
260,-6.23,12.93,24.34
270,-8.3,8.49,20.62
280,-10.12,4.32,15.97
290,-11.36,1.44,10.16
300,-12.38,-0.41,3.65
310,-12.87,-1.91,-3.98
320,-12.78,-1.87,-11.62
330,-12.87,-0.33,-19.08
340,-13.24,2.63,-25.72
350,-9.81,7.6,-31.4
360,-8.88,13.54,-31.32
370,-6.78,16.99,-29.28
380,-5.49,16.73,-26.02
390,-4.64,13.58,-24.68
400,-3.8,9.46,-25.38
410,-2.6,6.95,-25.81
420,-0.93,6.3,-26.31
430,0.94,6.23,-26.89
440,2.32,6.04,-25.74
450,2.53,5.86,-23.9
460,1.45,4.94,-22.97
470,0.31,3.06,-24.91
480,-1.76,2.42,-26.24
490,-4.22,1.06,-28.65
500,-8.3,2.63,-31.76
510,-10.74,5.01,-36.16
520,-11.85,9.44,-36.91
530,-13.2,10.25,-31.77
540,-15.36,8.29,-25.46
550,-16.98,5.06,-20.22
560,-18.53,2.54,-14.69
570,-24.09,0.67,-7.59
580,-24.44,0.65,-0.26
590,-25.06,3.17,10.02
600,-24.65,8.53,25.49
610,-22.3,17.2,42.41
620,-16.9,25.55,51.12
630,-10.64,30.05,49.6
640,-5.8,28.28,41.34
650,-3.71,21.81,36.06
660,-3.68,14.55,36.95
670,-4.39,8.47,42.08
680,-4.69,6.83,47.43
690,-4.9,8.21,51.0
700,-5.43,10.57,53.64
710,-6.88,13.38,54.62
720,-9.15,15.67,53.12
730,-13.18,14.93,51.42
740,-17.91,11.24,46.19
750,-22.39,4.8,37.76
760,-26.25,-2.86,27.23
770,-28.32,-9.6,14.46
780,-28.46,-12.22,1.07
790,-27.47,-8.1,-10.59
800,-25.54,0.55,-21.86
810,-23.87,10.55,-29.5
820,-22.79,19.35,-31.13
830,-22.56,25.62,-33.03
840,-21.98,25.96,-36.72
850,-13.51,24.36,-44.02
860,-15.36,21.25,-38.51
870,-11.73,21.21,-33.27
880,-7.65,21.81,-29.47
890,-4.65,20.57,-23.33
900,-2.23,17.36,-18.5
910,-0.41,13.83,-15.49
920,1.17,11.23,-12.86
930,2.21,8.94,-9.66
940,2.85,6.72,-6.67
950,3.14,5.44,-4.2
960,3.27,5.73,-2.06
970,3.5,6.95,-1.16
980,3.41,8.01,-0.19
990,3.15,8.78,0.26
1000,2.83,9.67,0.11
