timestamp,x,y,z
0,1.82,10.33,1.07
10,1.87,10.44,1.02
20,1.9,10.48,1.07
30,1.93,10.47,1.11
40,1.91,10.35,1.51
50,1.91,10.44,2.18
60,1.91,10.29,2.83
70,1.9,10.03,3.73
80,1.7,9.27,4.81
90,1.79,8.62,5.11
100,2.09,7.97,4.93
110,2.47,7.34,4.73
120,2.94,6.34,4.7
130,3.03,4.15,5.21
140,2.65,0.55,5.54
150,2.73,-3.18,4.47
160,2.55,-5.99,3.05
170,2.53,-7.1,1.22
180,2.71,-7.32,-1.37
190,2.58,-6.97,-4.66
200,1.95,-6.35,-9.11
210,1.26,-4.41,-14.34
220,0.36,-0.06,-17.92
230,-0.27,5.21,-20.95
240,-1.33,9.39,-22.42
250,-2.44,12.72,-23.59
260,-3.89,16.06,-23.52
270,-5.57,19.01,-22.76
280,-7.85,22.06,-16.98
290,-9.81,24.64,-10.08
300,-10.03,27.29,-4.11
310,-10.87,29.42,2.25
320,-9.79,29.96,3.36
330,-9.18,27.84,1.84
340,-9.11,25.35,1.63
350,-9.22,23.73,3.71
360,-8.56,23.29,5.51
370,-7.55,23.26,6.22
380,-7.12,22.89,6.98
390,-7.15,21.69,8.32
400,-7.48,20.5,11.24
410,-7.85,19.29,14.41
420,-8.34,17.46,17.2
430,-8.17,15.98,17.21
440,-8.03,14.13,16.5
450,-7.53,12.93,15.01
460,-7.23,11.85,14.66
470,-7.06,10.47,14.41
480,-7.02,9.11,14.19
490,-7.02,7.42,13.54
500,-7.11,6.42,13.53
510,-6.93,3.74,12.45
520,-6.48,1.74,11.19
530,-6.23,1.5,10.75
540,-5.57,0.95,9.13
550,-4.83,1.09,7.7
560,-4.53,0.59,7.51
570,-4.39,-0.05,7.75
580,-4.32,-0.66,8.19
590,-4.01,-0.95,8.3
600,-3.58,-1.14,7.84
610,-2.95,-1.23,6.86
620,-2.37,-1.45,5.91
630,-1.73,-1.55,4.95
640,-1.21,-1.56,4.42
650,-0.81,-1.4,4.48
660,-0.63,-0.96,4.77
670,-0.52,-0.66,4.59
680,-0.39,-0.66,3.8
690,-0.14,-1.27,2.28
700,0.23,-1.64,0.15
710,0.6,-1.68,-2.28
720,0.88,-1.18,-3.93
730,0.7,-0.7,-4.75
740,0.57,-0.16,-5.33
750,0.65,0.61,-5.66
760,0.85,1.69,-5.88
770,1.12,2.61,-7.08
780,2.17,3.92,-9.67
790,2.16,5.4,-11.93
800,1.74,6.75,-13.22
810,0.72,7.13,-12.98
820,0.02,7.54,-12.48
830,-0.07,8.53,-11.28
840,0.25,10.54,-10.2
850,0.51,12.74,-9.29
860,0.58,14.53,-8.88
870,0.39,16.11,-8.18
880,0.05,17.6,-6.43
890,-0.19,18.69,-3.98
900,-0.25,19.23,-1.15
910,-0.35,19.52,1.34
920,-0.08,19.76,2.15
930,-0.09,19.93,2.5
940,-0.33,19.62,2.41
950,-0.63,18.78,2.29
960,-0.93,18.18,3.03
970,-1.17,17.77,4.49
980,-1.38,17.45,5.96
990,-1.35,16.91,6.6
1000,-0.97,16.39,5.94
