timestamp,x,y,z
0,6.4,8.67,1.9
10,6.57,9.41,1.39
20,6.67,10.08,0.8
30,6.82,10.38,-0.07
40,6.98,10.21,-1.02
50,7.1,9.87,-2.0
60,7.15,9.85,-3.24
70,6.72,9.09,-3.87
80,6.35,8.46,-4.84
90,6.11,8.19,-6.23
100,5.84,8.04,-7.35
110,5.43,7.8,-7.8
120,4.96,7.69,-7.8
130,4.7,7.76,-8.73
140,4.38,7.63,-9.88
150,3.94,7.06,-10.57
160,3.08,5.94,-9.95
170,2.26,4.3,-9.37
180,1.19,2.62,-7.81
190,0.31,1.16,-6.56
200,-0.45,0.36,-5.65
210,-1.16,0.1,-4.3
220,-1.81,0.07,-2.63
230,-2.71,0.25,-0.42
240,-3.04,0.6,0.89
250,-3.39,0.15,2.2
260,-3.9,-0.48,4.25
270,-4.92,-1.37,6.95
280,-4.83,-1.74,8.06
290,-5.25,-2.52,9.66
300,-5.14,-2.37,10.4
310,-4.91,-1.44,11.4
320,-4.72,-0.0,12.66
330,-4.68,0.89,15.32
340,-4.73,1.14,19.14
350,-4.83,1.13,22.43
360,-4.59,1.55,24.41
370,-4.33,1.97,25.56
380,-3.92,2.38,25.18
390,-3.58,2.89,24.33
400,-2.55,4.81,22.49
410,-2.03,6.7,22.66
420,-1.87,7.96,23.62
430,-2.03,8.99,24.37
440,-2.57,9.44,24.13
450,-3.73,8.75,22.76
460,-5.12,7.62,20.4
470,-5.77,7.4,17.64
480,-5.42,8.24,14.25
490,-4.88,10.6,11.14
500,-4.52,13.95,9.46
510,-4.25,17.94,9.12
520,-4.87,21.23,9.77
530,-5.65,24.05,8.77
540,-6.12,24.76,6.04
550,-5.99,25.35,1.82
560,-5.26,25.73,-2.13
570,-4.98,25.4,-3.21
580,-4.81,24.78,-3.28
590,-4.75,24.33,-2.96
600,-4.46,24.09,-3.86
610,-4.0,23.53,-5.68
620,-3.62,22.66,-7.51
630,-2.74,22.15,-9.66
640,-2.03,21.44,-11.04
650,-1.39,20.71,-11.21
660,-1.21,19.53,-10.49
670,-1.04,17.71,-10.06
680,-1.17,15.44,-9.41
690,-0.92,13.06,-9.28
700,-1.16,10.7,-8.48
710,-0.77,8.85,-8.79
720,-0.23,7.35,-8.92
730,0.03,6.42,-7.93
740,0.24,5.74,-6.85
750,0.22,5.17,-5.77
760,-0.06,4.7,-4.61
770,-0.13,4.28,-4.16
780,-0.21,3.95,-3.65
790,-0.21,3.46,-3.01
800,-0.38,2.71,-1.7
810,-0.32,1.6,-1.08
820,-0.31,0.44,-0.6
830,-0.27,-0.58,-0.26
840,-0.07,-1.26,-0.21
850,-0.02,-1.58,-0.16
860,0.04,-1.58,-0.29
870,-0.26,-1.64,0.43
880,-0.45,-1.91,1.35
890,-0.97,-2.28,4.23
900,-1.55,-2.41,7.34
910,-1.36,-1.55,9.7
920,-0.84,-0.74,10.6
930,-0.42,0.22,10.94
940,-0.18,0.54,11.05
950,-0.04,0.91,11.25
960,-0.01,1.83,12.58
970,0.13,3.23,14.7
980,0.11,4.98,16.84
990,0.63,7.12,18.16
1000,1.23,8.96,18.75
