timestamp,x,y,z
0,5.94,6.84,-2.17
10,5.95,6.59,-3.03
20,5.98,6.3,-4.12
30,5.94,5.99,-5.23
40,5.6,5.6,-5.08
50,4.55,5.84,-1.92
60,3.79,6.66,0.65
70,4.08,7.98,0.17
80,4.33,9.38,-0.85
90,4.52,10.26,-2.41
100,4.59,10.44,-4.32
110,4.41,9.77,-5.99
120,4.01,8.41,-7.1
130,3.37,6.88,-7.77
140,2.48,5.28,-8.68
150,1.52,3.88,-9.72
160,0.4,2.67,-11.29
170,-1.74,0.77,-12.37
180,-4.24,-1.38,-12.47
190,-6.95,-3.58,-12.36
200,-10.26,-6.18,-11.08
210,-16.34,-10.66,-6.32
220,-20.04,-19.82,-1.69
230,-24.78,-27.1,6.36
240,-29.51,-29.83,16.18
250,-34.64,-25.69,30.29
260,-38.87,-13.7,43.92
270,-38.41,-1.77,48.11
280,-36.72,6.94,52.51
290,-32.97,17.37,53.47
300,-28.25,27.07,53.71
310,-21.93,36.85,54.25
320,-17.48,43.48,56.86
330,-19.11,44.61,58.58
340,-24.67,41.38,51.69
350,-30.35,34.58,35.94
360,-33.92,26.59,16.48
370,-35.71,19.36,-2.52
380,-34.95,14.21,-18.48
390,-32.15,18.22,-29.15
400,-28.73,31.65,-34.54
410,-26.64,44.38,-37.6
420,-25.77,51.22,-38.28
430,-24.92,53.98,-38.06
440,-25.27,52.7,-38.14
450,-26.73,47.96,-37.14
460,-26.81,40.6,-34.63
470,-24.56,33.61,-33.12
480,-22.23,26.85,-30.68
490,-21.67,19.26,-28.36
500,-22.41,11.36,-27.08
510,-23.83,4.02,-24.19
520,-25.67,-3.14,-20.43
530,-26.25,-10.8,-18.44
540,-26.39,-17.68,-16.28
550,-25.62,-21.99,-14.64
560,-24.65,-23.32,-11.83
570,-24.68,-22.65,-3.64
580,-23.84,-19.88,7.81
590,-22.15,-14.69,20.98
600,-18.17,-10.74,27.89
610,-13.66,-8.73,30.15
620,-10.53,-6.45,32.98
630,-8.16,-3.9,34.34
640,-5.72,0.35,34.42
650,-3.41,4.45,34.22
660,-1.72,8.14,34.71
670,-0.34,10.58,34.2
680,1.28,11.43,31.83
690,2.2,11.18,28.43
700,2.91,10.43,23.91
710,3.27,9.5,18.97
720,3.12,8.64,14.43
730,2.89,8.6,10.88
740,2.77,9.34,8.56
750,2.75,10.01,6.37
760,2.98,9.98,4.36
770,3.29,9.7,2.35
780,3.64,9.28,0.72
790,3.55,8.85,0.48
800,3.3,8.31,0.66
810,3.28,7.6,0.34
820,3.47,6.81,0.06
830,3.58,6.49,0.66
840,3.5,6.41,1.88
850,3.61,6.34,2.42
860,3.68,6.2,2.93
870,3.74,6.22,4.06
880,3.82,7.0,5.75
890,3.92,7.75,7.05
900,4.22,8.2,7.26
910,4.5,8.39,6.9
920,4.78,8.31,6.29
930,4.97,8.1,5.79
940,5.09,7.68,5.27
950,5.07,7.11,5.09
960,5.06,6.55,4.96
970,4.99,6.21,5.19
980,4.85,6.05,5.74
990,5.01,5.98,5.53
1000,5.02,6.13,5.57
