timestamp,x,y,z
0,0.42,4.79,-8.79
10,0.7,5.96,-8.29
20,1.39,6.95,-9.11
30,2.21,9.55,-9.9
40,2.1,10.12,-8.69
50,3.25,12.35,-10.38
60,2.94,10.98,-10.42
70,2.54,9.77,-9.42
80,2.22,9.85,-8.73
90,2.14,10.87,-8.3
100,2.05,11.19,-7.71
110,1.98,11.33,-6.89
120,2.07,11.62,-6.11
130,2.53,11.84,-5.88
140,3.05,11.67,-6.05
150,3.25,10.94,-6.24
160,3.37,9.99,-5.86
170,3.39,9.1,-5.04
180,3.29,8.08,-4.42
190,3.58,7.18,-5.03
200,3.93,6.39,-6.04
210,4.03,5.58,-7.26
220,4.15,4.85,-8.64
230,4.37,4.69,-10.28
240,4.5,4.93,-12.07
250,4.36,4.75,-13.02
260,3.97,3.81,-13.45
270,3.26,2.69,-13.54
280,3.06,2.08,-13.29
290,2.86,1.63,-13.05
300,2.78,1.24,-13.38
310,2.84,1.48,-13.93
320,2.88,2.18,-14.58
330,2.64,2.72,-14.63
340,2.48,2.16,-14.81
350,2.11,1.57,-14.35
360,1.83,0.71,-13.92
370,1.22,-0.28,-13.12
380,0.59,-1.43,-12.38
390,0.0,-2.08,-12.38
400,-0.73,-2.27,-11.85
410,-1.69,-2.52,-11.18
420,-3.21,-3.14,-10.58
430,-4.88,-5.2,-10.76
440,-7.46,-9.96,-11.22
450,-11.07,-16.84,-11.16
460,-15.05,-23.8,-11.4
470,-17.92,-27.0,-11.39
480,-28.17,-25.95,-2.55
490,-28.32,-20.43,5.09
500,-29.86,-14.25,15.4
510,-30.19,-7.9,25.51
520,-28.23,0.64,31.34
530,-25.22,11.9,39.82
540,-23.05,24.68,51.73
550,-19.06,34.77,56.84
560,-15.71,42.22,56.8
570,-10.82,48.58,51.64
580,-9.38,52.02,49.94
590,-8.81,53.38,43.8
600,-10.11,52.99,29.3
610,-13.28,47.58,13.33
620,-14.99,38.84,-2.9
630,-15.33,30.89,-13.97
640,-14.01,24.32,-21.43
650,-13.12,20.95,-27.41
660,-1.92,22.5,-41.98
670,-4.41,24.49,-37.38
680,-3.99,22.2,-34.85
690,-4.57,16.51,-33.19
700,-5.82,8.03,-34.42
710,-6.66,3.95,-35.85
720,-5.93,5.38,-36.9
730,-4.86,7.11,-36.95
740,-4.66,8.02,-35.65
750,-5.11,6.97,-33.06
760,-6.14,7.37,-30.29
770,-7.12,6.52,-28.14
780,-8.3,5.91,-25.35
790,-9.31,5.13,-21.77
800,-10.4,3.46,-17.88
810,-10.93,1.08,-15.02
820,-11.19,-1.88,-13.4
830,-11.44,-4.58,-11.77
840,-11.43,-6.46,-7.89
850,-11.3,-7.7,-3.08
860,-12.6,-9.03,-0.73
870,-12.76,-10.61,0.37
880,-10.19,-11.65,1.14
890,-8.9,-10.32,6.78
900,-7.24,-6.17,14.23
910,-4.97,-1.82,19.74
920,-2.65,1.12,22.65
930,-0.35,2.8,22.15
940,1.2,3.89,20.42
950,2.16,5.36,18.48
960,2.87,7.38,16.65
970,3.38,9.98,15.07
980,3.82,11.65,14.57
990,3.25,13.8,16.45
1000,3.79,15.6,15.54
