timestamp,x,y,z
0,-0.14,8.28,0.63
10,-0.16,7.87,0.12
20,-0.15,7.31,-0.38
30,-0.14,6.87,-0.77
40,-0.15,6.39,-1.11
50,-0.15,6.07,-1.4
60,-0.14,6.35,-1.57
70,0.21,7.6,-2.02
80,0.64,9.45,-2.79
90,1.0,10.75,-4.54
100,1.43,11.83,-6.51
110,1.65,13.46,-8.03
120,1.12,14.63,-8.75
130,0.59,16.25,-9.28
140,0.0,17.99,-9.17
150,-0.68,20.01,-8.37
160,-1.66,21.27,-6.63
170,-3.08,21.23,-3.94
180,-4.6,20.52,-0.97
190,-6.94,19.78,3.2
200,-7.94,19.61,6.59
210,-8.72,19.9,9.35
220,-8.97,19.99,11.43
230,-9.38,20.08,12.73
240,-9.92,19.63,14.86
250,-10.02,19.01,15.72
260,-10.45,17.86,17.31
270,-10.78,16.31,19.36
280,-10.74,14.91,20.54
290,-10.58,12.96,20.48
300,-9.7,11.11,18.21
310,-9.04,7.18,15.28
320,-8.37,4.55,12.9
330,-8.12,1.52,11.62
340,-7.62,-0.81,10.3
350,-6.88,-2.15,9.84
360,-6.32,-2.87,10.28
370,-5.71,-2.83,10.3
380,-5.15,-2.73,9.4
390,-4.77,-2.82,8.43
400,-4.47,-3.5,7.14
410,-4.03,-4.43,5.75
420,-3.62,-5.09,4.34
430,-3.06,-5.76,2.7
440,-2.65,-5.96,1.66
450,-2.15,-6.07,0.97
460,-1.41,-5.55,0.23
470,-0.67,-4.72,-0.58
480,-0.12,-4.19,-1.34
490,0.12,-4.19,-1.94
500,0.21,-4.16,-2.74
510,0.08,-4.11,-3.51
520,0.05,-4.0,-4.6
530,0.06,-3.52,-5.87
540,0.24,-2.45,-7.02
550,0.38,-1.17,-8.0
560,0.72,0.49,-8.74
570,1.07,2.37,-9.56
580,1.38,4.8,-10.58
590,1.0,7.06,-10.77
600,0.5,9.43,-10.98
610,0.09,11.97,-11.13
620,-0.06,14.37,-11.85
630,-0.11,15.93,-12.86
640,0.16,16.79,-14.84
650,0.05,17.87,-15.37
660,-0.06,18.95,-15.37
670,-0.3,19.56,-14.8
680,-0.67,19.63,-13.79
690,-1.21,19.77,-11.72
700,-1.6,19.82,-9.3
710,-2.04,19.93,-5.91
720,-2.27,20.08,-2.52
730,-2.16,20.26,-0.23
740,-1.74,20.37,0.69
750,-1.44,19.78,0.15
760,-1.4,18.45,-0.95
770,-1.8,16.78,-0.9
780,-1.46,15.32,-2.48
790,-2.32,14.56,-0.17
800,-3.01,14.6,1.56
810,-3.03,15.54,2.51
820,-3.21,16.18,3.57
830,-3.37,16.65,4.54
840,-3.64,16.77,5.5
850,-3.78,16.18,5.74
860,-3.78,15.47,5.86
870,-3.86,14.45,6.02
880,-4.04,13.11,6.62
890,-4.12,11.49,7.37
900,-4.01,10.33,8.06
910,-3.79,9.58,8.87
920,-3.34,9.1,9.0
930,-2.78,8.73,8.47
940,-2.38,8.23,7.92
950,-1.99,7.52,7.0
960,-1.66,6.66,5.98
970,-1.52,5.7,4.97
980,-1.4,5.27,4.21
990,-1.27,5.43,3.63
1000,-1.11,5.38,3.17
