timestamp,x,y,z
0,1.1,9.21,0.92
10,1.07,9.24,0.87
20,1.12,9.08,0.65
30,1.11,8.67,0.74
40,1.07,8.35,0.98
50,1.12,7.95,1.07
60,1.17,7.59,1.05
70,1.28,7.33,0.82
80,1.36,7.15,0.57
90,1.46,6.96,0.34
100,1.42,6.53,0.47
110,1.41,6.11,0.5
120,1.41,5.59,0.47
130,1.32,4.99,0.52
140,1.09,3.99,0.45
150,0.77,2.38,0.03
160,0.28,0.8,-0.53
170,-0.19,0.43,-1.92
180,0.28,2.13,-4.58
190,0.78,4.55,-7.29
200,1.33,7.28,-9.98
210,1.15,8.81,-11.23
220,0.58,9.11,-11.84
230,-0.06,8.93,-12.21
240,-0.58,9.54,-14.06
250,-1.41,11.85,-15.84
260,-2.79,15.01,-15.98
270,-4.29,19.12,-14.27
280,-5.86,22.43,-11.74
290,-7.32,26.18,-7.47
300,-8.39,28.48,-3.47
310,-9.21,29.24,-0.25
320,-10.1,28.82,2.48
330,-10.81,27.61,3.93
340,-11.55,25.86,5.56
350,-12.39,23.87,8.53
360,-13.03,22.29,12.27
370,-13.04,21.78,14.63
380,-13.24,21.83,17.65
390,-13.1,21.43,20.25
400,-12.55,20.11,22.14
410,-12.13,19.06,23.72
420,-11.71,16.51,24.16
430,-11.06,12.86,22.29
440,-10.75,8.76,20.09
450,-10.18,3.56,17.02
460,-9.45,-0.54,13.84
470,-8.43,-3.16,11.69
480,-7.55,-4.8,10.14
490,-6.68,-3.11,9.29
500,-5.97,-1.34,8.43
510,-5.49,0.21,7.95
520,-5.42,0.78,8.54
530,-5.66,0.11,9.56
540,-5.73,-1.45,9.65
550,-5.38,-3.62,8.34
560,-4.72,-5.08,6.41
570,-3.95,-5.72,4.21
580,-2.9,-5.53,2.11
590,-2.12,-4.83,1.9
600,-1.41,-4.05,2.31
610,-0.79,-2.84,3.38
620,-0.52,-1.91,4.65
630,-0.24,-1.56,4.77
640,0.11,-1.13,3.45
650,0.51,-0.6,1.09
660,0.66,-0.68,-1.12
670,0.48,-1.32,-2.52
680,0.4,-1.68,-3.67
690,0.33,-1.71,-4.51
700,0.35,-1.97,-5.64
710,0.71,-1.16,-7.09
720,1.22,0.49,-8.34
730,1.89,2.42,-10.0
740,1.53,4.99,-10.18
750,1.03,6.53,-10.12
760,0.15,7.3,-8.8
770,-0.13,6.89,-9.06
780,0.17,7.1,-11.06
790,0.71,8.37,-14.02
800,1.14,10.8,-16.72
810,0.88,12.87,-17.41
820,0.47,13.91,-16.62
830,-0.06,14.14,-14.13
840,-0.49,15.22,-10.92
850,-0.59,17.29,-8.89
860,-0.62,19.24,-8.98
870,-0.69,20.23,-10.52
880,-1.14,20.64,-10.75
890,-1.59,20.27,-9.32
900,-1.99,20.13,-5.75
910,-2.16,20.27,-1.85
920,-2.41,20.65,1.36
930,-2.62,20.44,2.81
940,-2.71,19.45,2.31
950,-3.05,17.8,1.07
960,-3.51,16.58,0.95
970,-4.05,14.81,2.73
980,-5.12,15.89,6.02
990,-5.02,15.57,8.98
1000,-4.73,15.4,10.46
