timestamp,x,y,z
0,7.25,5.55,-2.55
10,7.35,5.79,-2.6
20,7.48,6.11,-2.64
30,7.53,6.36,-2.54
40,7.62,6.61,-2.68
50,7.77,6.76,-3.03
60,7.87,6.79,-3.11
70,8.07,6.53,-3.43
80,8.32,6.06,-3.76
90,8.53,5.56,-3.85
100,8.78,5.26,-4.28
110,9.02,5.06,-5.15
120,9.09,4.81,-5.73
130,9.19,4.28,-6.06
140,9.54,3.78,-6.85
150,9.63,4.09,-7.63
160,9.39,4.36,-8.27
170,8.91,4.53,-8.81
180,8.14,4.32,-8.91
190,7.37,3.55,-8.99
200,6.76,2.95,-9.3
210,6.18,2.31,-10.35
220,5.29,1.4,-11.38
230,4.15,0.08,-11.93
240,3.2,-1.56,-12.68
250,2.22,-3.37,-13.58
260,1.11,-5.21,-13.88
270,-0.06,-6.54,-13.49
280,-1.46,-7.87,-13.29
290,-3.46,-9.68,-13.32
300,-5.82,-12.08,-13.38
310,-8.23,-13.55,-12.72
320,-10.32,-13.09,-11.08
330,-12.02,-11.82,-7.1
340,-12.64,-9.8,-2.67
350,-22.45,-6.77,9.5
360,-20.61,-4.68,12.39
370,-20.39,0.51,15.28
380,-21.41,7.34,20.93
390,-19.66,15.52,20.86
400,-15.07,26.58,20.0
410,-10.99,37.79,24.41
420,-7.24,40.3,27.75
430,-5.01,40.55,29.7
440,-3.8,38.86,31.01
450,-3.88,35.76,31.34
460,-4.57,31.51,30.31
470,-5.65,26.71,27.8
480,-5.71,19.75,22.07
490,-6.09,13.75,17.12
500,-7.76,11.85,12.6
510,-10.16,13.82,7.12
520,-11.58,17.84,0.91
530,-9.01,24.55,-6.62
540,-5.99,31.49,-11.37
550,-5.28,34.4,-15.9
560,-6.96,33.96,-21.58
570,0.59,34.33,-34.21
580,-5.31,36.02,-29.82
590,-5.94,36.5,-29.28
600,-8.53,32.3,-31.91
610,-11.39,24.96,-36.11
620,-12.89,17.67,-39.41
630,-13.74,11.88,-39.37
640,-14.54,7.13,-39.24
650,-15.15,4.37,-39.32
660,-15.47,2.44,-39.65
670,-15.91,-0.14,-39.55
680,-16.22,-2.79,-38.39
690,-16.27,-4.47,-36.84
700,-16.18,-4.97,-34.32
710,-16.2,-5.08,-30.36
720,-16.75,-5.21,-25.12
730,-17.75,-5.82,-20.75
740,-18.67,-7.1,-16.62
750,-19.1,-9.47,-12.23
760,-28.87,-12.2,-1.05
770,-23.4,-14.69,1.24
780,-22.44,-16.09,3.61
790,-20.37,-14.48,2.68
800,-18.78,-10.47,5.59
810,-18.05,-3.82,15.02
820,-15.79,4.27,24.31
830,-11.18,10.9,27.38
840,-6.98,15.26,30.03
850,-3.92,17.2,32.68
860,-0.48,18.78,32.5
870,1.84,20.52,33.11
880,3.95,21.03,31.14
890,6.01,20.98,26.97
900,6.92,20.99,23.57
910,7.45,19.99,19.57
920,7.31,18.08,15.41
930,6.71,14.96,11.44
940,5.85,11.73,8.05
950,5.05,9.11,5.26
960,4.54,7.93,3.04
970,4.69,7.71,1.09
980,4.67,7.93,-0.44
990,4.89,8.14,-1.97
1000,5.25,8.38,-3.0
